franchise_id,season_year,home_games,home_wins,home_attendance_total,avg_home_attendance,away_games,away_wins,away_attendance_total,avg_away_attendance,total_games,total_wins,Pct,total_attendance,attendance_avg
20,2023,41,23,795110,19392.926829268294,41,24,757168,18467.51219512195,82,47,0.573170731707317,1552278,18930.219512195123
20,2024,39,25,769962,19742.615384615383,38,22,711373,18720.342105263157,77,47,0.6103896103896104,1481335,19238.116883116883
21,2005,41,26,675490,16475.365853658535,41,26,698216,17029.658536585364,82,52,0.6341463414634146,1373706,16752.51219512195
21,2006,41,22,664157,16198.951219512195,41,13,704998,17195.073170731706,82,35,0.4268292682926829,1369155,16697.01219512195
21,2007,41,20,654163,15955.19512195122,41,11,714864,17435.70731707317,82,31,0.3780487804878049,1369027,16695.451219512193
21,2008,41,13,547556,13355.024390243903,41,7,703518,17158.975609756097,82,20,0.24390243902439024,1251074,15257.0
21,2009,41,15,766868,18704.09756097561,41,8,683862,16679.560975609755,82,23,0.2804878048780488,1450730,17691.829268292684
21,2010,41,27,738149,18003.634146341465,41,23,691951,16876.853658536584,82,50,0.6097560975609756,1430100,17440.243902439026
21,2011,41,30,744068,18148.0,41,25,728751,17774.414634146342,82,55,0.6707317073170732,1472819,17961.20731707317
21,2012,33,26,600699,18203.0,33,21,595053,18031.909090909092,66,47,0.7121212121212122,1195752,18117.454545454544
21,2013,41,34,746323,18203.0,41,26,751775,18335.975609756097,82,60,0.7317073170731707,1498098,18269.48780487805
21,2014,41,34,746323,18203.0,41,25,744987,18170.414634146342,82,59,0.7195121951219512,1491310,18186.70731707317
21,2015,41,29,746323,18203.0,41,16,736220,17956.585365853658,82,45,0.5487804878048781,1482543,18079.79268292683
21,2016,41,32,746323,18203.0,41,23,748617,18258.951219512193,82,55,0.6707317073170732,1494940,18230.975609756097
21,2017,41,28,746323,18203.0,41,19,753331,18373.926829268294,82,47,0.573170731707317,1499654,18288.463414634145
21,2018,41,27,746322,18202.975609756097,41,21,773542,18866.878048780487,82,48,0.5853658536585366,1519864,18534.926829268294
21,2019,41,27,746323,18203.0,41,22,732517,17866.268292682926,82,49,0.5975609756097561,1478840,18034.634146341465
21,2020,37,23,600699,18203.0,35,21,553520,17855.483870967742,72,44,0.6111111111111112,1154219,16030.819444444445
21,2021,36,10,0,0.0,36,12,37782,2906.3076923076924,72,22,0.3055555555555556,37782,524.75
21,2022,41,12,610829,14898.268292682927,41,12,682160,16638.048780487807,82,24,0.2926829268292683,1292989,15768.158536585366
21,2023,41,24,636903,15534.219512195123,41,16,737091,17977.829268292684,82,40,0.4878048780487805,1373994,16756.024390243903
21,2024,39,32,680479,17448.17948717949,39,24,718458,18422.0,78,56,0.717948717948718,1398937,17935.089743589742
22,2005,41,24,597942,14583.951219512195,41,12,717914,17510.09756097561,82,36,0.43902439024390244,1315856,16047.024390243903
22,2006,41,26,638005,15561.09756097561,41,10,700453,17084.219512195123,82,36,0.43902439024390244,1338458,16322.658536585366
22,2007,41,25,700887,17094.80487804878,41,15,716307,17470.90243902439,82,40,0.4878048780487805,1417194,17282.853658536584
22,2008,41,25,709346,17301.121951219513,41,27,719161,17540.51219512195,82,52,0.6341463414634146,1428507,17420.817073170732
22,2009,41,32,698768,17043.121951219513,41,27,734416,17912.585365853658,82,59,0.7195121951219512,1433184,17477.853658536584
22,2010,41,34,715901,17461.0,41,25,728392,17765.658536585364,82,59,0.7195121951219512,1444293,17613.329268292684
22,2011,41,29,777852,18972.0,41,23,714556,17428.19512195122,82,52,0.6341463414634146,1492408,18200.09756097561
22,2012,33,21,623587,18896.575757575756,33,16,566326,17161.39393939394,66,37,0.5606060606060606,1189913,18028.984848484848
22,2013,41,12,722716,17627.219512195123,41,8,689682,16821.51219512195,82,20,0.24390243902439024,1412398,17224.365853658535
22,2014,41,19,666046,16245.024390243903,41,4,679941,16583.926829268294,82,23,0.2804878048780488,1345987,16414.475609756097
22,2015,41,13,688194,16785.219512195123,41,12,721024,17585.951219512193,82,25,0.3048780487804878,1409218,17185.585365853658
22,2016,41,23,719275,17543.29268292683,41,12,704188,17175.317073170732,82,35,0.4268292682926829,1423463,17359.30487804878
22,2017,41,16,727875,17753.048780487807,41,13,710690,17333.90243902439,82,29,0.35365853658536583,1438565,17543.475609756097
22,2018,41,17,734531,17915.39024390244,41,8,723704,17651.317073170732,82,25,0.3048780487804878,1458235,17783.353658536584
22,2019,41,25,720024,17561.560975609755,41,17,724048,17659.70731707317,82,42,0.5121951219512195,1444072,17610.634146341465
22,2020,35,18,529870,17092.58064516129,38,15,586273,17243.323529411766,73,33,0.4520547945205479,1116143,15289.630136986301
22,2021,36,11,108301,3734.5172413793102,36,10,50150,3134.375,72,21,0.2916666666666667,158451,2200.7083333333335
22,2022,41,12,622881,15192.219512195123,41,10,699570,17062.682926829268,82,22,0.2682926829268293,1322451,16127.451219512195
22,2023,41,20,728405,17765.975609756097,41,14,720541,18013.525,82,34,0.4146341463414634,1448946,17670.073170731706
22,2024,39,27,736247,18878.128205128207,39,17,704735,18070.128205128207,78,44,0.5641025641025641,1440982,18474.128205128207
23,2005,41,25,732686,17870.39024390244,41,18,735285,17933.780487804877,82,43,0.524390243902439,1467971,17902.085365853658
23,2006,41,23,677278,16518.975609756097,41,15,763709,18627.048780487807,82,38,0.4634146341463415,1440987,17573.01219512195
23,2007,41,21,608603,14843.975609756097,41,14,731840,17849.756097560974,82,35,0.4268292682926829,1340443,16346.865853658537
