player_id,Player,Rank,Year Drafted,Age,Team,MP RS,OWS RS,DWS RS,WS RS,WS/48 RS,season_year,MP PO,OWS PO,DWS PO,WS PO,WS/48 PO,Impact,Year Started,franchise_id,teams_played_for,salary,allocated_salary,MP_Total,MP_RS_Cost,MP_TOT_Cost,WS_RS_Cost,WS_TOT_Cost,Impact_Cost,Rookie Contract Year
acyqu01,Quincy Acy,37,2012,23,Sacramento Kings,786,0.5,0.7,1.3,0.078,2014,0.0,0.0,0.0,0.0,0.0,1.3,2013,26,2,788872.0,525914.6666666666,786.0,669.1026293469041,669.1026293469041,404549.74358974356,404549.74358974356,404549.74358974356,3
acyqu01,Quincy Acy,37,2012,23,Toronto Raptors,61,0.1,0.1,0.2,0.188,2014,0.0,0.0,0.0,0.0,0.0,0.2,2013,28,2,788872.0,262957.3333333333,61.0,4310.775956284153,4310.775956284153,1314786.6666666665,1314786.6666666665,1314786.6666666665,3
acyqu01,Quincy Acy,37,2012,24,New York Knicks,1287,1.0,0.7,1.7,0.063,2015,0.0,0.0,0.0,0.0,0.0,1.7,2013,20,1,915243.0,915243.0,1287.0,711.1445221445222,711.1445221445222,538378.2352941177,538378.2352941177,538378.2352941177,4
acyqu01,Quincy Acy,37,2012,25,Sacramento Kings,876,1.8,0.7,2.5,0.137,2016,0.0,0.0,0.0,0.0,0.0,2.5,2013,26,1,981348.0,981348.0,876.0,1120.2602739726028,1120.2602739726028,392539.2,392539.2,392539.2,5
acyqu01,Quincy Acy,37,2012,26,Brooklyn Nets,510,0.6,0.5,1.1,0.102,2017,0.0,0.0,0.0,0.0,0.0,1.1,2013,19,2,1050961.0,233546.88888888888,510.0,457.93507625272326,457.93507625272326,212315.3535353535,212315.3535353535,212315.3535353535,6
acyqu01,Quincy Acy,37,2012,26,Brooklyn Nets,510,0.6,0.5,1.1,0.102,2017,0.0,0.0,0.0,0.0,0.0,1.1,2013,19,2,1914544.0,233546.88888888888,510.0,457.93507625272326,457.93507625272326,212315.3535353535,212315.3535353535,212315.3535353535,6
acyqu01,Quincy Acy,37,2012,27,Brooklyn Nets,1359,-0.1,1.1,1.0,0.036,2018,0.0,0.0,0.0,0.0,0.0,1.0,2013,19,1,1709538.0,1709538.0,1359.0,1257.9381898454747,1257.9381898454747,1709538.0,1709538.0,1709538.0,7
adamsal01,Alvan Adams,4,1975,31,Phoenix Suns,2005,1.2,2.7,3.9,0.094,1986,0.0,0.0,0.0,0.0,0.0,3.9,1976,24,1,600000.0,600000.0,2005.0,299.25187032418955,299.25187032418955,153846.15384615384,153846.15384615384,153846.15384615384,12
adamsal01,Alvan Adams,4,1975,33,Phoenix Suns,1646,0.6,1.6,2.2,0.064,1988,0.0,0.0,0.0,0.0,0.0,2.2,1976,24,1,675000.0,675000.0,1646.0,410.0850546780073,410.0850546780073,306818.18181818177,306818.18181818177,306818.18181818177,14
adamsha01,Hassan Adams,54,2006,22,New Jersey Nets,495,0.5,0.5,1.0,0.095,2007,9.0,0.0,0.0,0.0,0.063,1.0,2007,19,1,412718.0,412718.0,504.0,833.7737373737374,818.8849206349206,412718.0,412718.0,412718.0,2
