franchise_id,season_year,home_games,home_wins,home_attendance_total,avg_home_attendance,away_games,away_wins,away_attendance_total,avg_away_attendance,total_games,total_wins,Pct,total_attendance,attendance_avg,Team_Revenue,Ticket_Price,Operating_Income,LAFR,LAFA
4,2011,41,28,603088,14709.463414634147,41,18,704368,17179.70731707317,82,46.0,0.5609756097560976,1307456,15944.585365853658,109.0,20.5,-3.0,0.027525252525252526,0.027525306579413985
4,2012,33,11,498618,15109.636363636364,33,10,551676,16717.454545454544,66,21.0,0.3181818181818182,1050294,15913.545454545454,93.0,14.1,-13.0,0.025326797385620915,0.028331100999683573
4,2012,33,11,498618,15109.636363636364,33,10,551676,16717.454545454544,66,21.0,0.3181818181818182,1050294,15913.545454545454,100.0,17.0,3.0,0.027233115468409588,0.028331100999683573
4,2013,41,16,565930,13803.170731707318,41,11,707426,17254.29268292683,82,27.0,0.32926829268292684,1273356,15528.731707317073,115.0,18.2,7.0,0.0252414398595259,0.025858636923179978
4,2013,41,16,565930,13803.170731707318,41,11,707426,17254.29268292683,82,27.0,0.32926829268292684,1273356,15528.731707317073,116.0,18.7,11.0,0.025460930640913083,0.025858636923179978
4,2014,41,22,672029,16390.951219512193,41,12,713288,17397.268292682926,82,34.0,0.4146341463414634,1385317,16894.10975609756,130.0,18.5,1.0,0.027151211361737676,0.030431356275623555
4,2014,41,22,672029,16390.951219512193,41,12,713288,17397.268292682926,82,34.0,0.4146341463414634,1385317,16894.10975609756,131.0,20.2,19.0,0.027360066833751043,0.030431356275623555
4,2015,41,28,683757,16677.0,41,17,723265,17640.60975609756,82,45.0,0.5487804878048781,1407022,17158.80487804878,142.0,21.9,4.0,0.027413127413127413,0.030240945445008372
4,2015,41,28,683757,16677.0,41,17,723265,17640.60975609756,82,45.0,0.5487804878048781,1407022,17158.80487804878,142.0,22.6,20.0,0.027413127413127413,0.030240945445008372
4,2016,41,21,688549,16793.878048780487,41,9,731893,17851.048780487807,82,30.0,0.36585365853658536,1420442,17322.463414634145,158.0,22.2,9.0,0.026934878963518583,0.030385189710563823
4,2016,41,21,688549,16793.878048780487,41,9,731893,17851.048780487807,82,30.0,0.36585365853658536,1420442,17322.463414634145,156.0,22.7,17.0,0.026593931128537335,0.030385189710563823
4,2017,41,21,663099,16173.146341463415,41,13,740577,18062.853658536584,82,34.0,0.4146341463414634,1403676,17118.0,202.0,23.5,21.0,0.027415852334419108,0.029288891065964856
4,2017,41,21,663099,16173.146341463415,41,13,740577,18062.853658536584,82,34.0,0.4146341463414634,1403676,17118.0,204.0,23.9,37.0,0.02768729641693811,0.029288891065964856
4,2018,41,24,673920,16437.073170731706,41,24,734378,17911.658536585364,82,48.0,0.5853658536585366,1408298,17174.365853658535,213.0,24.8,22.0,0.02660172349194455,0.029559866691106895
4,2018,41,24,673920,16437.073170731706,41,24,734378,17911.658536585364,82,48.0,0.5853658536585366,1408298,17174.365853658535,214.0,27.0,29.0,0.026726614212564007,0.029559866691106895
4,2019,41,19,656183,16004.463414634147,41,14,724356,17667.219512195123,82,33.0,0.4024390243902439,1380539,16835.841463414636,240.0,23.7,39.0,0.027400388172165772,0.02900816643921942
4,2019,41,19,656183,16004.463414634147,41,14,724356,17667.219512195123,82,33.0,0.4024390243902439,1380539,16835.841463414636,224.0,27.6,49.0,0.02557369562735472,0.02900816643921942
4,2020,36,15,528172,16505.375,36,15,562718,18152.1935483871,72,30.0,0.4166666666666667,1090890,15151.25,215.0,17.2,36.0,0.027160181910055585,0.029700963707344635
4,2020,36,15,528172,16505.375,36,15,562718,18152.1935483871,72,30.0,0.4166666666666667,1090890,15151.25,209.0,21.1,44.0,0.0264022233451238,0.029700963707344635
4,2021,36,18,89370,2882.9032258064517,36,13,51001,3000.0588235294117,72,31.0,0.4305555555555556,140371,1949.5972222222222,183.0,0.5,34.0,0.02856696846706213,0.059636097689226335
