Ride name,Location,Opening date,Type,Manufacturer,Height,Length,Speed,Inversions,Duration,Capacity,Cost,Drop,Max vertical angle,G-force,Height Restriction,Park number
Crazy Bats,Phantasialand,"April 1st, 1988",Steel – Enclosed,Vekoma,38.4 ft (11.7 m),"3,851.7 ft (1,174.0 m)",28.9 mph (46.5 km/h),,4:00,1600 riders per hour,,,,,,56
Crush's Coaster,Walt Disney Studios Park,"June 9, 2007",Steel – Spinning – Enclosed,Maurer AG,,,60.7 km/h (37.7 mph),0,1:55,,,,,,,28
Dahlonega Mine Train,Six Flags Over Georgia,"June 16, 1967",Steel – Mine Train,Arrow Dynamics,37 ft (11 m),"2,327 ft (709 m)",29 mph (47 km/h),,2:51,2200 riders per hour,,,45°,,,35
Dare Devil Dive,Six Flags Over Georgia,"May 28, 2011[1]",Steel,Gerstlauer,95 ft (29 m),"2,099 ft (640 m)",52 mph (84 km/h),3,1:40,,"$9,000,000",,95°,,,35
De Vliegende Hollander,Efteling,"April 1, 2007",Steel,Kumbak,18 m (59 ft),"420 m (1,380 ft)",69 km/h (43 mph),0,3.43 minutes,1900 riders per hour,€ 20 million,,,0.2-2,,160
Diamondback,Kings Island,"April 18, 2009",,Bolliger & Mabillard,230 ft (70 m),"5,282 ft (1,610 m)",80 mph (130 km/h),0,3:00,"1,620 riders per hour",$22 million,215 ft (66 m),74°,4.2,,60
Dragon Fyre,Canada's Wonderland,1981,Steel,Arrow Dynamics,23.8 m (78 ft),"658.5 m (2,160 ft)",80 km/h (50 mph),4,1:30,,,23.2 m (76 ft),,,,58
Dragon Khan,PortAventura Park,"May 2, 1995",Steel,Bolliger & Mabillard,45.1 m (148 ft),"1,285 m (4,216 ft)",104.6 km/h (65.0 mph),8,1:45,,,49.1 m (161 ft),,4,,19
Dragon's Fury,Chessington World of Adventures,"March 27, 2004",Steel – Spinning,Maurer AG,50.8 ft (15.5 m),"1,706 ft (520 m)",,0,,550 riders per hour,,,,,,3
Dragonflier,Dollywood,"May 10, 2019",Steel – Family – Inverted,Vekoma,63.3 ft (19.3 m),"1,486.2 ft (453.0 m)",46.6 mph (75.0 km/h),0,1:00,720 riders per hour,,,,3.5,,55
Dreamcatcher,Bobbejaanland,1987,Steel – Suspended,Vekoma,25 m (82 ft),"600 m (2,000 ft)",,0,,,,,,,,311
Electric Eel,SeaWorld San Diego,"May 10, 2018",Steel – Launched,Premier Rides,150 ft (46 m),863 ft (263 m),62 mph (100 km/h),1,0:45,720 riders per hour,,135 ft (41 m),,,,20
Euro-Mir,Europa-Park,1997,Steel – spinning,Mack Rides,92 ft (28 m),"3,215 ft (980 m)",49.7 mph (80.0 km/h),,4:33,1600 riders per hour,,,,4,,51
Eurosat - CanCan Coaster,Europa-Park,1989 (as Eurosat) September 2018 (as Eurosat - CanCan Coaster),Steel – Enclosed,Mack Rides,25.5 m (84 ft),"900 m (3,000 ft)",60 km/h (37 mph),0,3:20 minutes,max. 1600 riders per hour,,,70°,4,,51
Excalibur,Valleyfair,1989,Steel,Arrow Dynamics,100 ft (30 m),"2,415 ft (736 m)",54.5 mph (87.7 km/h),0,2:17,1200 riders per hour,"$3,000,000 USD",105 ft (32 m),60°,3.6,,68
Expedition Everest – Legend of the Forbidden Mountain,Disney's Animal Kingdom,"April 7, 2006",,Vekoma,199 ft (61 m),"3,884.5 ft (1,184.0 m)",50 mph (80 km/h),0,2:50,"2,050 riders per hour","US$100,000,000",80 ft (24 m),,3.0,,8
Expedition GeForce,"Holiday Park, Germany","June 18, 2001",Steel,Intamin,174 ft (53 m),"4,002.7 ft (1,220.0 m)",74.6 mph (120.1 km/h),0,1:15,1300 riders per hour,,168 ft (51 m),82°,4.5,,302
Exterminator,Kennywood,"April 18, 1999",Steel – Enclosed – Spinning,Reverchon Industries,42.7 ft (13.0 m),"1,377.9 ft (420.0 m)",29.1 mph (46.8 km/h),0,1:48 (2:30 including start/stop),900 riders per hour,,,,2.5,,312
F.L.Y.,Phantasialand,,Steel – Flying – Launched,Vekoma,,"4,055.1 ft (1,236.0 m)",48.5 mph (78.1 km/h),2,,1400 riders per hour,,,,,,56
Fahrenheit,Hersheypark,"May 24, 2008",Steel,Intamin,121 ft (37 m),"2,700 ft (820 m)",58 mph (93 km/h),6,1:25,850 riders per hour,"US$12,100,000",,97°,,,15
