Show Name,Season,Href,Google Docs
68 whiskey,season one,https://tvseriesfinale.com/tv-show/68-whiskey-season-one-ratings/,https://docs.google.com/spreadsheets/d/1TVuPPYWjLX0S3WrKO5AogtfcZ95_B1EHvknn6U1utU8/pubhtml/sheet?headers=false&gid=1679247470&range=A1%3AG46
100,season four,https://tvseriesfinale.com/tv-show/100-season-four-ratings/,https://docs.google.com/spreadsheets/d/1i4IfQufJnv28LwfJWIz_Ea0E8u3f4vhTmL4pZz3620Q/pubhtml/sheet?headers=false&gid=934729281&range=A1%3AH100
100,season five,https://tvseriesfinale.com/tv-show/100-season-five-ratings/,https://docs.google.com/spreadsheets/d/e/2PACX-1vR_SBz9FDKyY15XKRCf_Vpm1tJXCnrieAa2957aRG1B9OPPcaQGfv4n1m4kjsCVCZGH29aYvTeDUaiS/pubhtml/sheet?headers=false&gid=818574558&range=A1%3AH40
the 100,season seven,https://tvseriesfinale.com/tv-show/the-100-season-seven-ratings/,https://docs.google.com/spreadsheets/d/e/2PACX-1vTaD6uAv0rMyqOLpklP9QmMHlz3gUaKkf5kYVM3nDXbIBys2LKIkvfed1zv-22RJpYtZtcw1rvPd5ws/pubhtml/sheet?headers=false&gid=2081114073&range=A1%3Ah100
100 days to indy,season one,https://tvseriesfinale.com/tv-show/100-days-to-indy-season-one-ratings/,https://docs.google.com/spreadsheets/d/1qwTMXm7xEOvj2UJCK2EP9eCl3-calTWTXMXFx6_z1oA/pubhtml/sheet?headers=false&gid=1136515526&range=A1%3Ah100
100 days to indy,season two,https://tvseriesfinale.com/tv-show/100-days-to-indy-season-two-ratings/,https://docs.google.com/spreadsheets/d/1VOF9EearmNFEo8w6vHiQipNNQVkvI529Yr3CG1qfSnQ/pubhtml/sheet?headers=false&gid=15630139&range=A1%3Ah100
1969,season one,https://tvseriesfinale.com/tv-show/1969-season-one-ratings/,https://docs.google.com/spreadsheets/d/1Z54g0izrymDxV0QDkwOGE9auYHrCu-FTYNpPDykzPJ8/pubhtml/sheet?headers=false&gid=2123044771&range=A1%3Ah100
4400,season one,https://tvseriesfinale.com/tv-show/4400-season-one-ratings/,https://docs.google.com/spreadsheets/d/1MiOE1bCf6lKNJCpNpvXIAZYYbPo5_BfTqqGbsG9ENo8/pubhtml/sheet?headers=false&gid=1433723985&range=A1%3Ah100
9jkl,season one,https://tvseriesfinale.com/tv-show/9jkl-season-one-ratings/,https://docs.google.com/spreadsheets/d/e/2PACX-1vT3vh7mmYQQq1m3g7KQMsmlr1cEvnVRX6aVWRwp6JU7F2hy06mf_irW7uwbTdww_G47LBmS64qNTLkG/pubhtml/sheet?headers=false&gid=457756472&range=A1%3Ah100
abbott elementary,season one,https://tvseriesfinale.com/tv-show/abbott-elementary-season-one-ratings/,https://docs.google.com/spreadsheets/d/1UHVhAstyDVbA_72wuwSMX7TAPuO4Z_5sX1xbcmNjr2s/pubhtml/sheet?headers=false&gid=449876757&range=A1%3Ah100
abbott elementary,season two,https://tvseriesfinale.com/tv-show/abbott-elementary-season-two-ratings/,https://docs.google.com/spreadsheets/d/1yWN1t7MlPk9jroVeTgGH5-U5sp5XVcZJclGsrnyl5bI/pubhtml/sheet?headers=false&gid=899937572&range=A1%3Ah100
abbott elementary,season three,https://tvseriesfinale.com/tv-show/abbott-elementary-season-three-ratings/,https://docs.google.com/spreadsheets/d/15KTevMXvt9KrUmg0EAioSoNjNmhfRebf0-72WnZYlK8/pubhtml/sheet?headers=false&gid=1263110610&range=A1%3Ah100
abbys,season one,https://tvseriesfinale.com/tv-show/abbys-season-one-ratings/,https://docs.google.com/spreadsheets/d/1xFhCp0TeNw3qt7L-sjT6GVG1Fq3rxa3v6tGV_EhW0Bc/pubhtml/sheet?headers=false&gid=290100915&range=A1%3Ah100
accused,season one,https://tvseriesfinale.com/tv-show/accused-season-one-ratings/,https://docs.google.com/spreadsheets/d/1bCcF_doylXV5Q45d8vITOJBvhw6a3YcB2aJApWPLCGw/pubhtml/sheet?headers=false&gid=2056751831&range=A1%3Ah100
the affair,season three,https://tvseriesfinale.com/tv-show/the-affair-season-three-ratings/,https://docs.google.com/spreadsheets/d/13_jTGvVcJocGGMZhhC2fdGIsx1znj_LvslHru7vALRA/pubhtml/sheet?headers=false&gid=639686698&range=A1%3AG20
affair,season four,https://tvseriesfinale.com/tv-show/affair-season-four-ratings/,https://docs.google.com/spreadsheets/d/13_jTGvVcJocGGMZhhC2fdGIsx1znj_LvslHru7vALRA/pubhtml/sheet?headers=false&gid=203323170&range=A1%3AG20
the affair,season five,https://tvseriesfinale.com/tv-show/the-affair-season-five-ratings/,https://docs.google.com/spreadsheets/d/13_jTGvVcJocGGMZhhC2fdGIsx1znj_LvslHru7vALRA/pubhtml/sheet?headers=false&gid=1079443881&range=A1%3AG20
aftermath,season one,https://tvseriesfinale.com/tv-show/aftermath-season-one-ratings/,https://docs.google.com/spreadsheets/d/14IMssfgFsz8f3V5fAqkrt1xG_NUPQHNq4zimlz87N_c/pubhtml/sheet?headers=false&gid=382223396&range=A1%3AG30
alaska daily,season one,https://tvseriesfinale.com/tv-show/alaska-daily-season-one-ratings/,https://docs.google.com/spreadsheets/d/1yWN1t7MlPk9jroVeTgGH5-U5sp5XVcZJclGsrnyl5bI/pubhtml/sheet?headers=false&gid=265439469&range=A1%3Ah100
alec baldwin show,season one,https://tvseriesfinale.com/tv-show/alec-baldwin-show-season-one-ratings/,https://docs.google.com/spreadsheets/d/1Z54g0izrymDxV0QDkwOGE9auYHrCu-FTYNpPDykzPJ8/pubhtml/sheet?headers=false&gid=1811347410&range=A1%3Ah100
alert missing persons unit,season one,https://tvseriesfinale.com/tv-show/alert-missing-persons-unit-season-one-ratings/,https://docs.google.com/spreadsheets/d/1bCcF_doylXV5Q45d8vITOJBvhw6a3YcB2aJApWPLCGw/pubhtml/sheet?headers=false&gid=1842148026&range=A1%3Ah100
alert missing persons unit,season two,https://tvseriesfinale.com/tv-show/alert-missing-persons-unit-season-two-ratings/,https://docs.google.com/spreadsheets/d/1gho_2zWLswUjY_ZpmoiMhFa0JCIIjFpOuxah5J-ltYk/pubhtml/sheet?headers=false&gid=476347817&range=A1%3Ah100
alex inc,season one,https://tvseriesfinale.com/tv-show/alex-inc-season-one-ratings/,https://docs.google.com/spreadsheets/d/e/2PACX-1vTlE5lTHpAmKbEOIFMoMB5xW95pIvYxFgcblbWzKL4ZDLRBAVL3Bt3WtXzA65dzsHZXuOrwhIXlQOfq/pubhtml/sheet?headers=false&gid=624134743&range=A1%3Ah100
