IMDB Series ID,IMDB Episode ID,Type,Text
tt4786824,tt8071424,P,"Mild at most (e.g. a use of ""bloody"").

     





Edit"
tt4786824,tt8071424,I,"None

     





Edit"
tt2306299,tt5003034,V,"Heavy, bloody and gory war violence throughout the episode.

     





Edit"
tt2712516,tt5120006,S,"Dr. Colosso can be heard farting.

     





Edit"
tt2712516,tt5120006,V,"In an early scene Dr. Colosso eats a pizza violently. This is offscreen but we see toppings flying.

     





Edit"
tt2802850,tt3836974,V,"More than likely infrequent but strong bloody violence throughout the season.

     





Edit"
tt2802850,tt3836974,V,"A man pulls a gun on someone to threaten him.

     





Edit"
tt2802850,tt3836974,V,"Their is a shooting inside a coffee shop:

     





Edit"
tt2802850,tt3836974,V,"A man shoots another man and their is a brief blood spray.

     





Edit"
tt2802850,tt3836974,V,"A man shoots a woman in the stomach, no blood spray yet blood stain on her apron.

     





Edit"
tt2802850,tt3836974,V,"A man shoots a woman, blood sprays over the coffee table.

     





Edit"
tt2802850,tt3836974,V,"A man is hit by a car as hit stumbles out into the road. He is flipped onto the hood and windshield of the car.

     





Edit"
tt2802850,tt3836974,V,"A man is stabbed 4-5 times in the stomach with a gardening tool - some blood is present.

     





Edit"
tt2802850,tt3836974,P,"Occasional mild profanities similar to season 1.

     





Edit"
tt2802850,tt3836974,D,"A man snorts cocaine.

     





Edit"
tt2802850,tt3836974,D,"Occasional drinking and smoking.

     





Edit"
tt2802850,tt3836974,I,"Rated TV-MA for bloody violence and brief drug use.

     





Edit"
tt0844441,tt1368977,S,"Towards the end of the episode Sookie and Bill have sex, full nudity of both the characters is shown. A clothes sex sceene. Scenes of partial nudity. Passionate kissing.

     





Edit"
tt0844441,tt1368977,V,"Gruesome corpse. Some scenes with blood.

     





Edit"
tt0844441,tt1368977,D,"Smoking. Drinking.

     





Edit"
tt1586680,tt10611688,P,"Strong language, as always

     





Edit"
tt0773262,tt1699327,S,"A woman's affair with another man is referenced.

     





Edit"
tt0773262,tt1699327,V,"One of the goriest episodes of Dexter.

     





Edit"
tt0773262,tt1699327,V,"Two mummified remains of decapitated men are shown with maggots eating out their eyes and organs. This is very, very gory and gruesome.

     





Edit"
tt0773262,tt1699327,V,"A decapitated head with it's eyes and tongue cut out is shown being displayed. The body is also shown. Very bloody.

     





Edit"
tt0773262,tt1699327,V,"A woman is about to shoot a man but another man intrudes.

     





Edit"
tt0773262,tt1699327,V,"A man injects another man with a strong sedative and is about to kill him. He then realizes he is not the man he needs and releases him. No violent acts are shown.

     





Edit"
tt0773262,tt1699327,P,"Frequent f**k

     





Edit"
tt0312172,tt0650608,S,"None.

     





Edit"
tt0312172,tt0650608,V,"A man shoots another man. A man tries to kill Monk twice.

     





Edit"
tt0312172,tt0650608,P,"Mild.

     





Edit"
tt0312172,tt0650608,D,"Janie holds a cigarette in several scenes, but it is not lit.

     





Edit"
tt0312172,tt0650608,D,"A man steals drugs to make it look like a patient killed a doctor. A man dies from OD.

     





Edit"
tt0914387,tt1698097,S,"Infrequent references.

     





Edit"
tt0914387,tt1698097,V,"Some scenes of threat and war violence.

     





Edit"
tt0914387,tt1698097,V,"Focus on weapons, though the work as a whole does not glamourise or condone the use of weapons.

     





Edit"
tt0914387,tt1698097,P,"Some strong language.

     





Edit"
tt0914387,tt1698097,D,"Alcohol is consumed, though not in excess.

     





Edit"
tt0914387,tt1698097,I,"Some sense of threat and menace, and references to suicide.

     





Edit"
tt10795658,tt13618828,S,"At the beginning, a lady has a short flashback to a sex scene. Only lasts for a a few seconds

     





Edit"
tt10795658,tt13618828,S,"At the beginning, a lady has a short flashback to an intercourse scene. However, it only lasts for a few seconds. Time stamp (04:07-04:13)

     





Edit"
tt10795658,tt13618828,I,"The ending of this episode is extremely depressing

     





Edit"
tt0439100,tt1954056,S,"As two men sit, one describes being unfaithful to his wife with her sister. The wife comes in and confronts her husband before they are interrupted. Fellatio is mentioned.

     





Edit"
tt0439100,tt1954056,S,"Three people are seen in a bed. One is reading and a man is hidden under covers performing cunnilingus on a woman who is moaning. At one point, the man reading hands hidden man a vibrator and woman moans even more loudly.

     





Edit"
tt0439100,tt1954056,V,"A female suicide bomber's vest explodes, killing at least three people. Intended to be funny rather than gruesome.

     





Edit"
tt0439100,tt1954056,D,"Two marijuana dealers discuss a drug purchase while smoking said marijuana. Two more people are seen selling or trying to sell marijuana.

     





Edit"
tt0096697,tt0779678,S,"Mild talk of abortion.

     





Edit"
