IMDB Series ID,IMDB Episode ID,Argentina,Australia,Brazil,Finland,France,Germany,Ireland,Netherlands,New Zealand,Philippines,Singapore,United Kingdom,United States,Sex - None Votes,Sex - Mild Votes,Sex - Moderate Votes,Sex - Severe Votes,Violence - None Votes,Violence - Mild Votes,Violence - Moderate Votes,Violence - Severe Votes,Profanity - None Votes,Profanity - Mild Votes,Profanity - Moderate Votes,Profanity - Severe Votes,Drugs - None Votes,Drugs - Mild Votes,Drugs - Moderate Votes,Drugs - Severe Votes,Intense - None Votes,Intense - Mild Votes,Intense - Moderate Votes,Intense - Severe Votes,Sex - Report Count,Violence - Report Count,Profanity - Report Count,Drugs - Report Count,Intense - Report Count
tt2084712,tt5246748,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TV-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1
tt0285335,tt1137000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TV-PG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1
tt0460681,tt0713620,N/A,N/A,N/A,N/A,N/A,16,N/A,16,N/A,SPG,N/A,15,TV-MA,10,3,3,3,0,1,2,11,1,0,0,0,1,0,0,0,0,0,2,11,0,0,-1,-1,0
tt14669850,tt26731913,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1
tt0239195,tt5244788,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TV-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1
tt7203552,tt9216718,N/A,M,N/A,N/A,N/A,12,N/A,N/A,N/A,N/A,N/A,N/A,TV-MA,1,3,10,5,0,1,1,1,0,0,2,0,0,8,1,1,0,2,4,12,1,-1,-1,0,1
tt9153270,tt9153320,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1
tt5592146,tt7927636,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TV-PG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1
tt10936342,tt11608390,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12,N/A,N/A,N/A,N/A,TV-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1
tt3551096,tt5209218,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TV-PG,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,-1,-1,-1,-1,-1
tt1751634,tt10573630,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16,N/A,N/A,N/A,18,TV-MA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1
tt1983079,tt14622864,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1
tt0452046,tt6241336,N/A,N/A,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15,TV-MA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1
tt4655480,tt9853708,N/A,N/A,N/A,N/A,N/A,16,N/A,N/A,N/A,N/A,N/A,15,TV-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1
tt0455275,tt0934263,13,N/A,N/A,N/A,N/A,16,N/A,N/A,N/A,N/A,N/A,N/A,TV-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1
tt7440732,tt9352908,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TV-PG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1
tt0096697,tt3181566,Atp,PG,N/A,K-7/4,N/A,12,N/A,N/A,N/A,N/A,N/A,N/A,TV-14,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-1,0,0,-1
tt3526078,tt4835994,N/A,N/A,N/A,N/A,N/A,12,N/A,N/A,N/A,N/A,N/A,N/A,TV-MA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1
tt11685912,tt14938484,N/A,N/A,N/A,N/A,N/A,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2,0,0,-1
tt0844441,tt1051966,N/A,R18+,N/A,N/A,N/A,N/A,N/A,16,N/A,R-13,N/A,N/A,TV-MA,0,0,0,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,-1
tt0412142,tt1503414,13,M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PG-13,N/A,PG,TV-MA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1
tt1694423,tt29033970,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1
tt0096697,tt0701263,Atp,PG,12,N/A,N/A,12,PG,N/A,PG,N/A,N/A,PG,TV-PG,0,1,0,0,1,1,0,0,0,1,0,0,0,4,2,0,1,3,1,1,0,-1,0,1,0
tt4118584,tt4477596,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12,N/A,N/A,N/A,12,TV-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1
tt17543592,tt27235326,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TV-14,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,-1,-1,-1,-1,-1
tt8595140,tt8595146,N/A,N/A,N/A,N/A,N/A,12,N/A,N/A,N/A,N/A,N/A,N/A,TV-PG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1
tt11640018,tt27557082,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,R-13,N/A,N/A,TV-14,2,1,0,0,0,1,0,0,0,1,0,0,0,2,0,0,1,1,0,0,-1,-1,-1,-1,-1
tt1844624,tt2378296,N/A,MA15+,18,K-16,N/A,18,18,16,N/A,R-16,M18,18,TV-MA,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1
tt0374455,tt1036451,13,N/A,N/A,N/A,N/A,N/A,N/A,12,N/A,N/A,N/A,N/A,TV-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1
tt1252370,tt9376930,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TV-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1
tt3501074,tt4289316,N/A,N/A,N/A,K-7/4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TV-PG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1
tt0251497,tt4794866,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TV-PG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1
tt2049116,tt5724266,N/A,MA15+,N/A,N/A,N/A,N/A,N/A,16,N/A,N/A,N/A,N/A,TV-MA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1
tt2400129,tt2327016,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TV-PG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1
tt0965394,tt2005937,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TV-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1
tt7529770,tt7793094,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TV-MA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1
tt6111130,tt19433146,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TV-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1
tt1442550,tt27179400,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1
tt9140632,tt14112518,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TV-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1
tt0248654,tt0701984,16,N/A,18,N/A,N/A,N/A,N/A,N/A,N/A,PG-13,R21,15,TV-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1
tt5024912,tt8956954,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15,TV-MA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1
tt4474344,tt9104786,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TV-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1
tt6111130,tt18396464,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TV-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1
tt1984119,tt21193106,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TV-MA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1
tt1442550,tt11261922,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TV-PG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1
tt0413573,tt1002869,13,N/A,14,K-12,10,N/A,N/A,12,N/A,PG-13,N/A,N/A,TV-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1
tt0804503,tt1484414,16,N/A,N/A,N/A,N/A,12,N/A,N/A,N/A,N/A,N/A,15,TV-MA,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,-1,-1,-1,-1,-1
