county_fips,state_po,x,n,y,population_group
27105,MN,2011,18395,-62,small
27107,MN,2011,5467,-32,tiny
27109,MN,2011,127097,-194,large
27111,MN,2011,47262,61,small
27113,MN,2011,11267,-34,small
27115,MN,2011,20607,19,small
27117,MN,2011,7856,-36,tiny
27119,MN,2011,24894,24,small
27121,MN,2011,9154,51,tiny
27123,MN,2011,392048,-1227,large
27125,MN,2011,3416,1,tiny
27127,MN,2011,13194,-67,small
27129,MN,2011,13213,-54,small
27131,MN,2011,49682,-129,small
27133,MN,2011,7967,-36,tiny
27135,MN,2011,13577,-26,small
27137,MN,2011,148574,-41,large
27139,MN,2011,116929,88,large
27141,MN,2011,73526,146,medium
27143,MN,2011,13034,17,small
27145,MN,2011,118003,-312,large
27147,MN,2011,31303,32,small
27149,MN,2011,7514,50,tiny
27151,MN,2011,8189,-56,tiny
27153,MN,2011,19434,-17,small
27155,MN,2011,2830,-2,tiny
27157,MN,2011,18551,51,small
27159,MN,2011,10411,0,small
27161,MN,2011,15683,-163,small
27163,MN,2011,208698,952,large
27165,MN,2011,9331,11,tiny
27167,MN,2011,5587,-6,tiny
27169,MN,2011,36418,16,small
27171,MN,2011,109050,183,large
27173,MN,2011,8670,21,tiny
31001,NE,2011,24442,-1,small
31003,NE,2011,5440,-12,tiny
31005,NE,2011,379,0,tiny
31007,NE,2011,562,-8,tiny
31009,NE,2011,406,0,tiny
31011,NE,2011,4708,5,tiny
31013,NE,2011,9367,-1,tiny
31015,NE,2011,1709,-3,tiny
31017,NE,2011,2003,-4,tiny
31019,NE,2011,36709,-96,small
31021,NE,2011,5622,4,tiny
31023,NE,2011,7157,-31,tiny
31025,NE,2011,21235,71,small
31027,NE,2011,7562,-6,tiny
31029,NE,2011,3331,0,tiny
31031,NE,2011,4206,12,tiny
31033,NE,2011,8212,-13,tiny
31035,NE,2011,5392,-34,tiny
31037,NE,2011,9307,-43,tiny
31039,NE,2011,8030,-37,tiny
31041,NE,2011,9232,-5,tiny
31043,NE,2011,18233,-87,small
31045,NE,2011,6027,-35,tiny
31047,NE,2011,21064,-70,small
31049,NE,2011,1438,10,tiny
31051,NE,2011,4972,20,tiny
31053,NE,2011,30014,-74,small
31055,NE,2011,429344,-251,large
31057,NE,2011,1558,0,tiny
31059,NE,2011,4829,-20,tiny
31061,NE,2011,2612,7,tiny
31063,NE,2011,2071,1,tiny
31065,NE,2011,3964,-3,tiny
31067,NE,2011,17675,-3,small
